what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966815717
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966822956
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966823726
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1267966825815
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966836313
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966840896
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1267966840911
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966841197
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966841507
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966841533
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966841665
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1267966845697
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966845985
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966846031
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966851976
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966852015
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966857703
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966865631
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1267966865660
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966873251
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966877295
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.cleanAction",1267966877321
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1267966895304
started,bundle,org.eclipse.cdt.debug.core,6.0.0.201002161416,"org.eclipse.cdt.debug.core",1267966895614
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966896192
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966896202
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.project.buildAll",1267966902673
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966902969
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966903242
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.201002161416,"org.eclipse.cdt.debug.ui",1267966905433
activated,editor,org.eclipse.cdt.ui,5.1.2.201002161416,"org.eclipse.cdt.ui.editor.CEditor",1267966905440
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966908800
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1267966908847
